NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Jardines de la Plaza de Olavide,,Jardines-de-la-Plaza-de-Olavide,no,,,"Metro: Bilbao (línea 1, 4) Bus: 3, 16, 37, 40, 61, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Bilbao (línea 1, 4)",Bilbao,"1
4","Bus: 3, 16, 37, 40, 61, 149","3
16
37
40
61
149",5732,Instalación parcialmente accesible para personas con movilidad reducida,OLAVIDE,calle OLAVIDE Madrid,,16,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28010,Trafalgar,http://www.wikidata.org/entity/Q10384027,Chamberí,http://www.wikidata.org/entity/Q1763370,40.43247362678542,-3.7007855621824293,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",,"Jardines-de-la-Plaza-de-Oriente,-Lepanto-y-Cabo-Noval",no,,,"Metro: Ópera (líneas 2, 5 y ramal) Autobús: 25, 39  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Ópera (líneas 2, 5 y ramal)",Ópera,"2
5","Autobús: 25, 39","25
39",29000,Instalación parcialmente accesible para personas con movilidad reducida,BAILEN,Bailén street,http://www.wikidata.org/entity/Q5740811,17,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28013,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.41835486065351,-3.712838830603048,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Plaza de la Villa de París,,Jardines-de-la-Plaza-de-la-Villa-de-Paris,sí,,,"Metro: Colón (línea 4) Bus: 5, 14, 21 ,27, 37, 45, 53, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Colón (línea 4),Colón,4,"Bus: 5, 14, 21 ,27, 37, 45, 53, 150","5
14
21
27
37
45
53
150",10700,Instalación parcialmente accesible para personas con movilidad reducida,GENERAL CASTAÑOS,calle del General Castaños,http://www.wikidata.org/entity/Q29413544,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28004,Justicia,http://www.wikidata.org/entity/Q1992319,Centro,http://www.wikidata.org/entity/Q1763376,40.42620255233654,-3.6934468983675846,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines del Doctor Fleming,,Jardines-del-Doctor-Fleming,no especifica,,,"Metro: Cuzco (línea 10) Bus: 27, 40 , 126, 147 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Cuzco (línea 10),Cuzco,10,"Bus: 27, 40 , 126, 147 y 150","27
40
126
147
150",7363,Instalación parcialmente accesible para personas con movilidad reducida,DOCTOR FLEMING,"Calle del Doctor Fleming, Madrid",http://www.wikidata.org/entity/Q28740159,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28036,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,Chamartín,http://www.wikidata.org/entity/Q1766348,40.45454215758879,-3.6893863385035783,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines del Mundial. Castellana,,Jardines-del-Mundial.-Castellana,no especifica,,,"Metro: Santiago Bernabéu (línea 10) Bús: 14, 27, 40, 126, 147, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Santiago Bernabéu (línea 10),Santiago Bernabéu,"10
14
27
40
126
147
150",,,3547,Instalación parcialmente accesible para personas con movilidad reducida,CASTELLANA,calle CASTELLANA Madrid,,142,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28046,Hispanoamérica,http://www.wikidata.org/entity/Q3814573,Chamartín,http://www.wikidata.org/entity/Q1766348,40.4530917282714,-3.6893833082867062,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines del Príncipe de Anglona,,Jardines-del-Principe-de-Anglona,no especifica,,,"Metro: La Latina (línea 5) Bus: 3 , 31 , 50 , 65 , 148   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: La Latina (línea 5),La Latina,5,"Bus: 3 , 31 , 50 , 65 , 148","3
31
50
65
148",678,Instalación parcialmente accesible para personas con movilidad reducida,PAJA,calle PAJA Madrid,,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28005,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.413417349090764,-3.711466649831885,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín Botánico de Pradolongo,,Jardin-Botanico-de-Pradolongo,no especifica,,,"Metro: Hospital Doce de Octubre (línea 3) Bus: 6 , 60 , 78 , 81 , 121 , 131 RENFE: Doce de Octubre  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",doce de octubre C5,C-5,doce de octubre,Metro: Hospital Doce de Octubre (línea 3),Hospital Doce de Octubre,3,"Bus: 6 , 60 , 78 , 81 , 121 , 131","6
60
78
81
121
131",,Instalación parcialmente accesible para personas con movilidad reducida,RAFAELA YBARRA,calle RAFAELA YBARRA Madrid,,0,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28026,Pradolongo,http://www.wikidata.org/entity/Q10352360,Usera,http://www.wikidata.org/entity/Q953368,40.373745996607155,-3.712180056298639,,,/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas,ParquesJardines
Jardín Concejal Alejandro Muñoz Revenga,,Jardin-Concejal-Alejandro-Munoz-Revenga,no,,,"Bus: 2, 16, 61 y 202  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 2, 16, 61 y 202","2
16
61
202",2713,Instalación parcialmente accesible para personas con movilidad reducida,MELENDEZ VALDES,Calle de Meléndez Valdés,http://www.wikidata.org/entity/Q27031533,32,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28015,Gaztambide,http://www.wikidata.org/entity/Q10288587,Chamberí,http://www.wikidata.org/entity/Q1763370,40.43304334055123,-3.712227582685096,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín Fachada Pirámides I,,Jardin-Fachada-Piramides-I,no especifica,,,"Metro: Pirámides (Linea 5) Bus: 18, 23 , 34, 35, 36, 116, 118, 119  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Pirámides (Linea 5),Pirámides,5,"Bus: 18, 23 , 34, 35, 36, 116, 118, 119","18
23
34
35
36
116
118
119",3104,Instalación parcialmente accesible para personas con movilidad reducida,ACACIAS,"Calle de Moratines, Madrid",http://www.wikidata.org/entity/Q52382443,60,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28005,Las Acacias,http://www.wikidata.org/entity/Q3319190,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.40148810908036,-3.713132255123738,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín Glorieta de Azorín,,Jardin-Glorieta-de-Azorin,no especifica,,,"Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 31 , 41 , 50 , 65","31
41
50
65",2896,Instalación parcialmente accesible para personas con movilidad reducida,VEGA,"Calle de Lope de Vega, Madrid",http://www.wikidata.org/entity/Q19800989,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28013,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.414757673901924,-3.7161718357850444,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín Jazmín,,Jardin-Jazmin,sí,,,"Bus: 29, 125, 129, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 29, 125, 129, 150","29
125
129
150",59734,Instalación parcialmente accesible para personas con movilidad reducida,ROQUETAS DE MAR,calle ROQUETAS DE MAR Madrid,,10,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28033,Apóstol Santiago,http://www.wikidata.org/entity/Q11906303,Hortaleza,http://www.wikidata.org/entity/Q1928529,40.481785094079584,-3.660098332215654,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín de Embajadores M-30,,Jardin-de-Embajadores-M-30,sí,,,"Bus: 62 y 88  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,Bus: 62 y 88,"62
88",8222,Instalación parcialmente accesible para personas con movilidad reducida,PUERTO DE LA CRUZ VERDE,calle PUERTO DE LA CRUZ VERDE Madrid,,29,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28045,Legazpi,http://www.wikidata.org/entity/Q3773990,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.38418473435094,-3.685817452497564,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
"Jardín de Larra, Madrid",http://www.wikidata.org/entity/Q117839128,Jardin-de-Larra,no especifica,,,"Metro: Opera (líneas 2, 5 y ramal) Bus: 3, 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Opera (líneas 2, 5 y ramal)",Opera,"2
5","Bus: 3, 148","3
148",5599,Instalación parcialmente accesible para personas con movilidad reducida,FACTOR,"Calle del Factor, Madrid",http://www.wikidata.org/entity/Q30801866,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28013,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,40.41631909566782,-3.712793771176405,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín de la Colonia Congosto,,Jardin-de-la-Colonia-Congosto,no,,,"Metro: Congosto (línea 1) Bus: 54 y L1  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Congosto (línea 1),Congosto,1,Bus: 54 y L1,"54
1",6653,Instalación parcialmente accesible para personas con movilidad reducida,CONGOSTO,calle CONGOSTO Madrid,,70,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28031,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,40.37089825532696,-3.618365854832584,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín de la Transición Española,,Jardin-de-la-Transicion-Espanola,no especifica,,,"Metro: Gregorio Marañón (líneas 7 y 10) Bús: 7, 12, 14, 27, 40, 45, 147 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Gregorio Marañón (líneas 7 y 10),Gregorio Marañón,"7
10
12
14
27
40
45
147
150",,,10300,Instalación parcialmente accesible para personas con movilidad reducida,CASTELLANA,calle CASTELLANA Madrid,,78,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28046,El Viso,http://www.wikidata.org/entity/Q4778,Chamartín,http://www.wikidata.org/entity/Q1766348,40.4390037057741,-3.6905481652485355,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín del Bulevar de Peña Gorbea,,Jardin-del-Bulevar-de-Pena-Gorbea,no especifica,,,"Metro: Puente Vallecas (línea 1) Bus: 10, 24, 54, 57, 58, 310 y 410  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Puente Vallecas (línea 1),Puente Vallecas,1,"Bus: 10, 24, 54, 57, 58, 310 y 410","10
24
54
57
58
310
410",4247,Instalación parcialmente accesible para personas con movilidad reducida,PEÑA GORBEA,calle PEÑA GORBEA Madrid,,17,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28053,San Diego,http://www.wikidata.org/entity/Q11946851,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,40.3957812018463,-3.6670346724676173,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín del Templo de Debod,,Jardin-del-Templo-de-Debod,no,,,"Metro: Plaza de España (líneas 3 y 10), Ventura Rodríguez (línea 3) Bus: 25, 33, 39, 46, 74, 75, 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Plaza de España (líneas 3 y 10), Ventura Rodríguez (línea 3)","Plaza de España , Ventura Rodríguez","3
10","Bus: 25, 33, 39, 46, 74, 75, 148","25
33
39
46
74
75
148",58512,Instalación parcialmente accesible para personas con movilidad reducida,FERRAZ,calle de Ferraz,http://www.wikidata.org/entity/Q5740837,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28008,Casa de Campo,http://www.wikidata.org/entity/Q16302441,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.42425096551599,-3.716531855540272,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín del paseo Federico García Lorca,,Jardin-del-paseo-Federico-Garcia-Lorca,no,,,"Metro: Villa Vallecas (línea 1) Bus: 54 , 58 , 103 , 142 , 143 , N9 , L1  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Villa Vallecas (línea 1),Villa Vallecas,1,"Bus: 54 , 58 , 103 , 142 , 143 , N9 , L1","54
58
103
142
143
9
1",2406,Instalación parcialmente accesible para personas con movilidad reducida,FEDERICO GARCIA LORCA,calle FEDERICO GARCIA LORCA Madrid,,21,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28031,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,40.37740868500615,-3.6206400361863036,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín el Torero,,Jardin-el-Torero,sí,,,"Bus: 23 , 55 , 60  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 23 , 55 , 60","23
55
60",7130,Instalación parcialmente accesible para personas con movilidad reducida,TORERO,"Avenida de los Toreros, Madrid",http://www.wikidata.org/entity/Q29918658,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28026,Moscardó,http://www.wikidata.org/entity/Q11937679,Usera,http://www.wikidata.org/entity/Q953368,40.39218269145896,-3.7056345651289417,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardín histórico El Capricho de la Alameda Osuna,,Jardin-historico-El-Capricho-de-la-Alameda-Osuna,no especifica,,,"Metro: El Capricho (linea 5) Autobús: 101, 105 y 151  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: El Capricho (linea 5),El Capricho,5,"Autobús: 101, 105 y 151","101
105
151",171630,Instalación parcialmente accesible para personas con movilidad reducida,ALAMEDA DE OSUNA,calle ALAMEDA DE OSUNA Madrid,,25,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28042,Alameda de Osuna,http://www.wikidata.org/entity/Q760737,Barajas,http://www.wikidata.org/entity/Q807230,40.45446361509569,-3.6000964360303476,,parqueshistoricos@madrid.es,/contenido/entidadesYorganismos/ParquesJardines/ParquesHistoricos,ParquesJardines
Palacio de Cristal de la Arganzuela: Invernadero,,Palacio-de-Cristal-de-la-Arganzuela:-Invernadero,no especifica,,,"Metro: Legazpi (Línea 3 y línea 6) Bus: 6, 18, 19, 45, 47, 59, 62, 76, 78, 86, 148, 247  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Legazpi (Línea 3 y línea 6),Legazpi,"3
6","Bus: 6, 18, 19, 45, 47, 59, 62, 76, 78, 86, 148, 247","6
18
19
45
47
59
62
76
78
86
148
247",7100,Instalación parcialmente accesible para personas con movilidad reducida,CHOPERA,"Paseo de la Chopera, Madrid",http://www.wikidata.org/entity/Q27044458,10,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28045,La Chopera,http://www.wikidata.org/entity/Q3773750,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.3933877847248,-3.698565632659468,,,/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas,ParquesJardines
Parque Agustín Rodríguez Sahagún y Parque de los Pinos,,Parque-Agustin-Rodriguez-Sahagun-y-Parque-de-los-Pinos,sí,,,"Bus: 49 , 126 , 128  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 49 , 126 , 128","49
126
128",185040,Instalación parcialmente accesible para personas con movilidad reducida,DIRECCION,paseo de la Dirección,http://www.wikidata.org/entity/Q27043701,301,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28029,Valdeacederas,http://www.wikidata.org/entity/Q10388711,Tetuán,http://www.wikidata.org/entity/Q1773540,40.47022952429582,-3.7038792453996385,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Alcalde Jesús Pérez Quijano,,Parque-Alcalde-Jesus-Perez-Quijano,sí,,,"Metro: Valdebernardo (línea 9) Bus: 20  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Valdebernardo (línea 9),Valdebernardo,9,Bus: 20,20,55222,Instalación parcialmente accesible para personas con movilidad reducida,LADERA DE LOS ALMENDROS,calle LADERA DE LOS ALMENDROS Madrid,,0,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28032,Casco Histórico de Vicálvaro,http://www.wikidata.org/entity/Q16544374,Vicálvaro,http://www.wikidata.org/entity/Q589403,40.40418961057298,-3.622901144863193,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Alfredo Kraus,,Parque-Alfredo-Kraus,no especifica,,,"Metro: 'Mar de Cristal', líneas 4 y 8 Autobuses: 87, 120, 125 y 172  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: 'Mar de Cristal', líneas 4 y 8","'Mar de Cristal', líneas 4 y 8","4
8","buses: 87, 120, 125 y 172","87
120
125
172",38000,Instalación parcialmente accesible para personas con movilidad reducida,MAR ADRIATICO,calle MAR ADRIATICO Madrid,,5,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28033,Pinar del Rey,http://www.wikidata.org/entity/Q10349788,Hortaleza,http://www.wikidata.org/entity/Q1928529,40.47098300036034,-3.6393251567222045,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Aluche - Poblados,,Parque-Aluche---Poblados,sí,,,"Metro: Aluche (linea 5) Bus: 17, 117, 139 Renfe: Aluche  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Renfe: Aluche C5,C-5,Aluche,Metro: Aluche (linea 5),Aluche,5,"Bus: 17, 117, 139","17
117
139",24003,Instalación parcialmente accesible para personas con movilidad reducida,GUAREÑA,calle GUAREÑA Madrid,,22,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28044,Las Águilas,http://www.wikidata.org/entity/Q5971372,Latina,http://www.wikidata.org/entity/Q794954,40.38543450752234,-3.765190215590101,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Alzola,,Parque-Alzola,no,,,"Bus: 60 , 131  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 60 , 131","60
131",10495,Instalación parcialmente accesible para personas con movilidad reducida,BEASAIN,calle de Beasain,http://www.wikidata.org/entity/Q118630454,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28041,Orcasitas,http://www.wikidata.org/entity/Q3773941,Usera,http://www.wikidata.org/entity/Q953368,40.36716919688689,-3.7136655626692887,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Antonio Pirala,,Parque-Antonio-Pirala,sí,,,"Metro: Carmen, Ventas (linea 5 y linea 2) Bus: 38, 106, 110, 146, 210  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Carmen, Ventas (linea 5 y linea 2)","Carmen, Ventas","5
2","Bus: 38, 106, 110, 146, 210","38
106
110
146
210",21675,Instalación parcialmente accesible para personas con movilidad reducida,ANTONIO PIRALA,calle ANTONIO PIRALA Madrid,,8,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28017,Ventas,http://www.wikidata.org/entity/Q71762,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,40.428652595625735,-3.659649292346212,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Anunciación,,Parque-Anunciacion,no especifica,,,"Bus: 20, 26, 63.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 20, 26, 63","20
26
63",4088,Instalación parcialmente accesible para personas con movilidad reducida,ANUNCIACION,calle ANUNCIACION Madrid,,1,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28009,Niño Jesús,http://www.wikidata.org/entity/Q3773746,Retiro,http://www.wikidata.org/entity/Q2002296,40.41192841997151,-3.67583331713166,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Arquitecto Antonio Palacios,,Parque-Arquitecto-Antonio-Palacios,no,,,"Metro: Torre Arias (línea 5) Bus: 28, 48  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Torre Arias (línea 5),Torre Arias,5,"Bus: 28, 48","28
48",13850,Instalación parcialmente accesible para personas con movilidad reducida,FENELON,calle FENELON Madrid,,17,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28022,Canillejas,http://www.wikidata.org/entity/Q663013,San Blas-Canillejas,http://www.wikidata.org/entity/Q2001937,40.43847239256322,-3.6087501533089923,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Arroyo Fontarrón,,Parque-Arroyo-Fontarron,no,,,"Bus: 8, 20, 30, 100  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 8, 20, 30, 100","8
20
30
100",35450,Instalación parcialmente accesible para personas con movilidad reducida,ARROYO FONTARRON,calle ARROYO FONTARRON Madrid,,22,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Pavones,http://www.wikidata.org/entity/Q71760,Moratalaz,http://www.wikidata.org/entity/Q2076109,40.39476596114844,-3.6361646051817518,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Arroyo Fresno - Tomás y Valiente,,Parque-Arroyo-Fresno---Tomas-y-Valiente,sí,,,"Bus: 49  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,Bus: 49,49,107657,Accesible,VENTISQUERO DE LA CONDESA,calle VENTISQUERO DE LA CONDESA Madrid,,43,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28035,Mirasierra,http://www.wikidata.org/entity/Q31134,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,40.49284296962057,-3.7169069720385446,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Arroyo Pozuelo,,Parque-Arroyo-Pozuelo,sí,,,"Transporte más próximo:  Autobús: 160  Otros trasportes cercanos:  Autobús: 161 Autobús interurbano: 658 Tren: Estación de Aravaca (Líneas C-7 y C-10) Metro-ligero/Tranvía: Estación de Aravaca (Línea 2)  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Aravaca C7 C10,"C-7
C-10",Aravaca,Metro-ligero/Tranvía: Estación de Aravaca (Línea 2),Metro-ligero/Tranvía: Estación de Aravaca,2,Autobús interurbano: 658,658,78802,Instalación parcialmente accesible para personas con movilidad reducida,Arroyo Pozuelo,calle Arroyo Pozuelo Madrid,,,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,,,,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.45451429342977,-3.7856220495572703,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Arroyo de los Pinos,,Parque-Arroyo-de-los-Pinos,no,,,"Metro: Antonio Machado (linea 7) Bus: 132  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Antonio Machado (linea 7),Antonio Machado,7,Bus: 132,132,25798,Instalación parcialmente accesible para personas con movilidad reducida,JOAQUIN LORENZO,calle JOAQUIN LORENZO Madrid,,21,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28035,Peñagrande,http://www.wikidata.org/entity/Q3319582,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,40.47343735166941,-3.7241915440169024,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Avenida de Portugal,,Parque-Avenida-de-Portugal,no especifica,,,"Bus: 25, 33, 31, 36, 39, 65, 138  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 25, 33, 31, 36, 39, 65, 138","25
33
31
36
39
65
138",30719,Instalación parcialmente accesible para personas con movilidad reducida,A-5,Avinguda de Madrid,http://www.wikidata.org/entity/Q30454326,300,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28011,Puerta del Ángel,http://www.wikidata.org/entity/Q31142,Latina,http://www.wikidata.org/entity/Q794954,40.41214880704316,-3.7356620312409365,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Azorín,,Parque-Azorin,sí,,,"Metro: Buenos Aires (línea 1) Bus: 10, 54, 58, 103, 136  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Buenos Aires (línea 1),Buenos Aires,1,"Bus: 10, 54, 58, 103, 136","10
54
58
103
136",47434,Instalación parcialmente accesible para personas con movilidad reducida,ALBUFERA,Avenida de la Albufera,http://www.wikidata.org/entity/Q5714221,142,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28038,Palomeras Bajas,http://www.wikidata.org/entity/Q10343902,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,40.39144717132174,-3.6545377410677498,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Parque Barrio Las Musas,,Parque-Barrio-Las-Musas,no,,,"Metro: Las Musas (linea 7) Bus: 38, 140   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Las Musas (linea 7),Las Musas,7,"Bus: 38, 140","38
140",8818,Instalación parcialmente accesible para personas con movilidad reducida,NIZA,"Avenida de Niza, Madrid",http://www.wikidata.org/entity/Q28972102,55,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28022,Rosas,http://www.wikidata.org/entity/Q18880469,San Blas-Canillejas,http://www.wikidata.org/entity/Q2001937,40.43173953068984,-3.607628369908832,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
