NOMBRE,Matched_URL,AFORO,CERCANIAS,AUTOBUSES,METRO,ACCESIBILIDAD,VIA,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,0,Calle Sierra Carbonera,Madrid,28053,San Diego,Puente De Vallecas,40.39010139,-3.665323572,917 570 189 / 917 570 240,ctcepvallecas@madrid.es,Centros Culturales
Centro Sociocultural Teresa de Calcuta (Barajas),,Informacion no disponible,Informacion no disponible,Informacion no disponible,5,1,Plaza Navio,Madrid,28042,Alameda De Osuna,Barajas,40.45532074,-3.587630186,913 295 920,ccteresacalcuta@madrid.es,Centros Culturales
Centro Sociocultural Tetuán,,96,Informacion no disponible,Informacion no disponible,1,1,Calle Bravo Murillo,Madrid,28020,Berruguete,Tetuan,40.4590791,-3.700253215,915 790 851,csctetuan@madrid.es,Centros Culturales
Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Arzobispo Morcillo,Madrid,28029,La Paz,Fuencarral-el Pardo,40.48106787,-3.693350463,913 230 805,ccvalleinclan@madrid.es,Centros Culturales
Centro Sociocultural Valverde (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,66 y 137,10,1,Plaza Islas Azores,Madrid,28034,Valverde,Fuencarral-el Pardo,40.49504564,-3.688007026,917 364 760,ccvalverde@madrid.es,Centros Culturales
Centro Sociocultural Ágata (Villaverde),,94,C4 y C5,Informacion no disponible,3,1,Calle Doctor Martin Arevalo,Madrid,28021,Villaverde Alto C.H.,Villaverde,40.34636943,-3.708514699,917 109 300,ccagata@madrid.es,Centros Culturales
Centro de Cultura Contemporánea Conde Duque,https://www.wikidata.org/wiki/Q56426480,166,Informacion no disponible,Informacion no disponible,2 y 4,1,Calle Conde Duque,Madrid,28015,Universidad,Centro,40.42739911,-3.710589286,Informacion no disponible,Informacion no disponible,Monumentos Edificios Artisticos
Centro de Educación Ambiental y Cultural Maris Stella (Usera),,100,Informacion no disponible,Informacion no disponible,3,1,Calle Doctor Tolosa Latour,Madrid,28026,Pradolongo,Usera,40.37416625,-3.703222031,914 801 318,centro.marisstella@madrid.es,Centros Culturales
CentroCentro,https://www.wikidata.org/wiki/Q56426764,9,"C2, C7, C8 y C10",Informacion no disponible,"2, 7, 8 y 10",1,Plaza Cibeles,Madrid,28014,Los Jeronimos,Retiro,40.41902262,-3.692188194,914 800 008 / 010 (914 800 010 si llama desde fuera del municipio de Madrid),info@centrocentro.org,Centros Culturales
Espacio Abierto Quinta de los Molinos,,Informacion no disponible,Informacion no disponible,Informacion no disponible,5,"1,6",Calle Juan Ignacio Luca De Tena,Madrid,28027,El Salvador,San Blas-canillejas,40.44774002,-3.629287454,913 184 590,info@espacioabiertoqm.com,Centros Culturales
Espacio Cultural Antonio López (Chamartín),,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,"1,5",Calle Pastora Imperio,Madrid,28036,Castilla,Chamartin,40.48272165,-3.675307996,917 571 927/915 880 765,ecantoniolopez@madrid.es,Centros Culturales
"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",,Informacion no disponible,Informacion no disponible,Informacion no disponible,4,1,Calle Nuñez De Balboa,Madrid,28001,Recoletos,Salamanca,40.42682616,-3.682534948,913 982 399,ccemiliapardobazan@madrid.es,Salas Estudio Lectura
Espacio Cultural Serrería Belga,,Informacion no disponible,"C1, C2, C3, C4, C5, C7, y C10",Informacion no disponible,"1, 2, 3, 4, 5, 7, y 10",1,Calle Alameda,Madrid,28014,Cortes,Centro,40.41056735,-3.693781984,Informacion no disponible,hola@serreria-belga.es,Centros Culturales
Espacio Polivalente Embajadores,,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,0,Calle Embajadores,Madrid,28012,Embajadores,Centro,40.40974352,-3.706200285,Informacion no disponible,Informacion no disponible,Centros Espacios Deporte
Fernán Gómez Centro Cultural de la Villa,https://www.wikidata.org/wiki/Q56426930,732,"C1, C10, C2, C7",Informacion no disponible,"1, 10, 2 y 7","1,6",Plaza Colon,Madrid,28001,Recoletos,Salamanca,40.42497215,-3.689948085,913 184 631,info.tfg@teatrofernangomez.es,Teatros
Locales de ensayo del Distrito Salamanca,,Informacion no disponible,Informacion no disponible,Informacion no disponible,6,"1,5",Calle Alcalde Sainz De Baranda,Madrid,28007,Fuente Del Berro,Salamanca,40.42121784,-3.660765346,672 719 338,localensayosalamanca@madrid.es,Centros Culturales
Matadero Madrid,https://www.wikidata.org/wiki/Q4043800,Informacion no disponible,Informacion no disponible,Informacion no disponible,3 y 6,1,Plaza Legazpi,Madrid,28045,Chopera,Arganzuela,40.39130985,-3.695802844,913 184 670,info@mataderomadrid.org,Salas Exposiciones
Matadero Medialab,https://www.wikidata.org/wiki/Q110610911,Informacion no disponible,Informacion no disponible,Informacion no disponible,3 y 6,1,Paseo Chopera,Madrid,28045,Chopera,Arganzuela,40.39245798,-3.69720679,913 184 670,info.m@medialab-matadero.es,Centros Culturales
Nave de Terneras del Centro Cultural Casa del Reloj,,492,Informacion no disponible,Informacion no disponible,3 y 6,1,Paseo Chopera,Madrid,28045,Chopera,Arganzuela,40.39307289,-3.699005654,915 886 299 / 915 886 118,Informacion no disponible,Centros Culturales
Sala de exposiciones La Lonja. Centro Cultural Casa del Reloj (Arganzuela),,75,Informacion no disponible,Informacion no disponible,3 y 6,1,Paseo Chopera,Madrid,28045,Chopera,Arganzuela,40.39307289,-3.699005654,915 886 299 / 915 886 118,Informacion no disponible,Salas Exposiciones
Salón y sala de exposiciones en Junta Municipal de Usera,,190,Informacion no disponible,Informacion no disponible,6,2,Avenida Rafaela Ybarra,Madrid,28026,Pradolongo,Usera,40.38238674,-3.710861697,915 887 214,ccusera@madrid.es,Salas Exposiciones
